[run number];awareness-frecuency;awareness-intensity;[reporter];[final];[min];[max];[mean];[total steps]
17;;;mean [digital-knowledge] of citizens;70,71863105;20,02357706;70,71863105;56,40145369;8000
17;;;cumulative-victims;18676;0;18676;10156,8394;8000
17;;;ema-success-rate;0,080951945;0;0,159366357;0,086116814;8000
17;;;vulnerability-index;0;0;0,496666667;0,034843978;8000
17;;;expert-index;0,53;0;0,543333333;0,17295963;8000
17;;;attackers-jail;12;0;30;12,46406699;8000
17;;;attackers-free;28;10;40;27,53593301;8000
17;;;mean [last-payoff] of attackers;-2;-4,5;3,1;-1,542094738;8000
17;;;mean [aspiration-payoff] of attackers;-1,802921498;-3,617448982;0,05981925;-2,085214352;8000
18;1000;0,2;[step];8000;0;8000;4000;8000
18;;;mean [digital-knowledge] of citizens;70,60883633;20,05254064;71,01804541;58,15126207;8000
18;;;cumulative-victims;18708;0;18708;10267,30846;8000
18;;;ema-success-rate;0,069650559;0;0,168505203;0,083376675;8000
18;;;vulnerability-index;0;0;0,5;0,032815065;8000
18;;;expert-index;0,566666667;0;0,583333333;0,220054993;8000
18;;;attackers-jail;7;0;25;11,35533058;8000
18;;;attackers-free;33;15;40;28,64466942;8000
18;;;mean [last-payoff] of attackers;0,8;-5,2;3,4;-1,622609674;8000
18;;;mean [aspiration-payoff] of attackers;-2,291314952;-3,254739216;0,01;-2,114716421;8000
19;1000;0,2;[step];8000;0;8000;4000;8000
19;;;mean [digital-knowledge] of citizens;72,19094761;19,83933611;72,19094761;57,14230349;8000
19;;;cumulative-victims;18810;0;18810;10207,06412;8000
19;;;ema-success-rate;0,07568505;0;0,172634166;0,086179607;8000
19;;;vulnerability-index;0;0;0,513333333;0,03487814;8000
19;;;expert-index;0,636666667;0;0,636666667;0,202796317;8000
19;;;attackers-jail;9;0;25;11,43194601;8000
19;;;attackers-free;31;15;40;28,56805399;8000
19;;;mean [last-payoff] of attackers;-2,8;-4,7;2,6;-1,561267342;8000
19;;;mean [aspiration-payoff] of attackers;-2,095651616;-3,256204973;0,186799264;-2,019069392;8000
20;1000;0,2;[step];8000;0;8000;4000;8000
20;;;mean [digital-knowledge] of citizens;69,63115672;19,8829033;69,63115672;56,08836018;8000
20;;;cumulative-victims;18642;0;18642;10134,24109;8000
20;;;ema-success-rate;0,081844079;0;0,159848754;0,087103511;8000
20;;;vulnerability-index;0;0;0,496666667;0,037031621;8000
20;;;expert-index;0,49;0;0,49;0,165061034;8000
20;;;attackers-jail;12;0;27;12,53630796;8000
20;;;attackers-free;28;13;40;27,46369204;8000
20;;;mean [last-payoff] of attackers;-1,8;-4,5;3,4;-1,49823772;8000
