[run number];train-frecuency;training-intensity;training-shares;[reporter];[final];[min];[max];[mean];[total steps]
9;;;;attackers-jail;10;0;25;12,93800775;8000
9;;;;attackers-free;30;15;40;27,06199225;8000
9;;;;mean [last-payoff] of attackers;-2;-5;2,6;-1,260104987;8000
9;;;;mean [aspiration-payoff] of attackers;-1,730880179;-2,900220216;0,01;-1,697155239;8000
10;1000;1,6;0,1;[step];8000;0;8000;4000;8000
10;;;;mean [digital-knowledge] of citizens;61,17297539;18,64911878;61,17297539;50,44037062;8000
10;;;;cumulative-victims;20398;0;20398;10962,07724;8000
10;;;;ema-success-rate;0,08964555;0;0,164852538;0,098806734;8000
10;;;;vulnerability-index;0;0;0,53;0,045797192;8000
10;;;;expert-index;0,246666667;0;0,246666667;0,131260676;8000
10;;;;attackers-jail;9;0;25;13,45231846;8000
10;;;;attackers-free;31;15;40;26,54768154;8000
